Instance;;ILS – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BRKGA – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO – Chagas and Wagner (2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_01_03.thop;;21785;21619;22570;21428;21154;21207;22572;21397;22313;21308;21652;21446;22841;20281;22754;22286;21834;21582;21362;21030;21706;21398;20899;20880;20604;21960;22622;21380;21044;20858;;22808;22767;22834;22911;22718;22799;22523;22656;22729;22349;22573;22287;22568;22514;22232;22576;23009;22594;22523;22570;22508;22511;22681;22751;22694;22498;22683;22692;22759;22414;;22375;22447;22402;22334;22764;21964;22389;22417;22202;22199;22576;22753;22425;22681;22231;22303;22125;22330;22343;22464;22302;22221;22501;22024;22216;22704;22592;22433;22299;22574;;23081;22758;22942;22913;22698;22836;23044;22654;22885;22767;22887;22843;22865;22808;22847;22738;22770;23120;22623;23129;22862;22805;22851;22887;22750;22770;22815;22729;22837;22859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_05_01.thop;;39034;40923;34395;42285;39981;45164;44237;37918;38180;35629;38377;31341;42675;39938;40674;45962;42964;39663;43610;40119;37825;35197;45436;41511;37053;42113;41462;46449;42830;43997;;56498;53646;52764;53611;55044;57219;54562;53226;57333;53088;55208;56595;56558;55878;55148;54760;55615;50816;51230;53477;54768;56374;54341;57214;55324;55123;51625;53413;54037;55610;;59452;56726;59930;58573;59114;59977;56684;57539;58338;60272;60128;59136;58319;57698;59087;57658;57555;59729;58942;56838;60373;58798;57706;56151;61179;58132;58962;59306;57545;57501;;66515;65445;65717;65799;65460;65209;64147;65401;65957;66327;66381;65707;63449;66104;66065;65286;65972;65978;65354;65938;65117;65272;64313;66287;66353;65327;65543;65660;66031;65723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_05_02.thop;;50960;52337;55739;44558;45456;51323;51653;59699;53865;54345;46891;44910;55190;55023;55502;55788;46498;55284;41951;56631;36698;52782;52144;48793;50422;44932;50858;45746;51618;51146;;69382;72186;68918;67369;70794;71158;69486;69002;70913;72313;70958;72220;72036;66914;67589;68823;69695;70025;70669;67266;67741;66590;71566;70182;70116;69355;68337;69666;68018;67925;;75754;74791;75172;73546;76489;72427;75403;71187;73696;74377;72997;74263;74319;74344;74818;73706;74147;73695;74145;75604;74083;73278;74320;74482;74027;72921;71895;74015;73520;75871;;81234;77140;82207;81965;81899;82581;81938;82073;82027;81392;82521;81479;82593;82517;81886;81877;81375;81937;81080;81525;81486;79647;81677;81964;81348;81589;81519;81357;81481;81983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_05_03.thop;;68322;62361;68188;61459;56902;50797;56906;47360;54909;54912;56526;52460;57144;57041;67751;54221;52709;51688;53576;54529;51511;54914;69529;53495;65548;53003;51180;54787;58766;48400;;77758;75124;81857;78266;79626;76025;79690;79089;79172;78541;79693;77943;78145;79204;77648;80009;79692;78075;78908;79547;79254;79070;79242;78803;78826;76888;82052;80701;79028;80011;;86159;87621;84806;86667;87190;87089;86048;87099;88751;86808;87748;87344;88165;87797;88030;85579;85676;87889;86899;85308;88499;87656;88382;87457;86774;87173;87780;87774;85684;87920;;89048;89810;90613;90139;91510;91249;90561;90309;91076;90433;90975;90884;90929;89976;90514;89860;91379;90598;90467;90329;89464;91707;91334;90147;90923;90676;90808;90237;90247;89050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_10_01.thop;;45936;52893;55073;56960;50164;46598;50540;50631;43992;59370;39825;47962;42472;47892;52865;44211;38467;49734;45976;44291;43148;51715;48112;47935;47753;55227;48242;52164;50227;57432;;66887;68855;68918;69230;68464;70892;62782;62902;67611;64981;67046;64016;65980;63204;64224;69884;62850;65911;71203;62968;65555;68958;66938;69082;67983;65646;69344;67762;70947;67263;;78718;71521;77084;81851;78261;77522;78613;82209;71966;78662;74647;83708;76802;77568;75047;80431;75575;76333;80651;77649;77441;74930;75562;79226;77119;79631;77193;79274;79637;81485;;88939;90599;84077;93555;84312;86317;90481;91637;84168;89787;90286;83243;91375;91747;84570;90548;83151;91221;89617;86832;92014;91688;83920;84221;92694;92410;92410;92012;92787;90654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_10_02.thop;;54254;55795;62581;66590;52223;46443;59197;53733;50634;63962;53243;61345;51664;62632;54503;56624;58350;53853;51144;65692;63142;54833;63456;53518;52193;54244;48404;57174;63078;59267;;83241;84339;84921;82586;88066;84961;90731;87912;84352;88523;85047;86594;86090;87464;88559;83080;80998;81880;86264;85068;85605;82786;80617;82397;87493;85385;86094;83474;85456;83744;;111584;105181;109173;111453;105441;108661;106156;106624;109016;107016;105911;108745;110863;106461;109937;109839;109635;111933;110697;102368;109846;109833;111122;107411;106054;104478;108635;111175;105840;107847;;113266;115134;116722;117197;116849;113542;113579;117226;115555;115132;116199;114950;115096;114613;116079;115000;116632;112486;115827;115854;113912;114389;113565;117009;117033;116271;114326;115037;113467;113419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_01_usw_10_03.thop;;64781;72238;63144;52385;66241;60194;59250;55710;55938;64385;67986;58076;70557;62745;58936;65139;65732;71233;57033;63171;56027;68365;71556;69341;70934;61446;70407;71656;58384;72701;;93900;99779;97603;96047;100899;97008;91717;100131;97981;98716;95405;99316;100098;101081;97573;102367;99972;99855;97751;99768;97508;90915;101166;93479;97936;94307;95258;96959;96645;94845;;126908;129306;126612;127044;128706;127834;127685;127854;128417;127138;128518;126782;128060;128464;128568;127475;125545;128292;126822;127693;128108;127045;128444;128638;129073;128093;129182;128052;128601;127975;;129287;129652;128999;128348;128750;129200;129021;128772;129507;129350;128407;128588;128175;129212;128789;128310;129345;128533;127861;129435;129576;128788;128289;128640;128329;129690;128914;128270;128674;129213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_01_01.thop;;77814;80764;81087;82969;83504;75566;80692;79928;71885;84472;75463;72312;72643;82773;67794;80786;84379;83519;66623;85355;76722;80951;77489;79190;80424;73228;71127;87230;84282;69770;;89627;90760;90783;90905;89922;91027;90380;91612;89315;91332;90501;91951;91118;91632;90513;90941;90206;91911;90633;89931;91517;92088;88930;91374;90622;90622;90526;90277;91131;90383;;96214;97097;96832;96411;96013;94919;96826;96869;98003;95255;94838;94693;96623;96412;95798;97729;96919;97209;97417;95033;96616;96062;94217;95030;97225;97747;96831;97367;94630;96827;;103121;102242;102257;102431;102454;102291;102693;102393;102780;102262;102629;102731;103765;102473;102256;102429;102457;102582;103186;102412;103033;102359;102512;102448;102533;102679;102688;102547;102528;102523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_01_02.thop;;85892;81419;88881;88592;89819;83353;86613;86244;85360;89407;88832;88244;85428;89420;86308;89914;81735;89421;89011;85665;80699;84950;88467;86518;83926;88583;87202;89378;86628;86197;;93921;94524;93504;94772;95372;94633;93457;94780;94612;93233;94721;95223;94828;94530;93218;94387;93595;94919;93931;94133;93430;94757;94895;94232;93831;93862;94323;94524;94128;95003;;103728;102930;102340;102981;102173;100081;102702;101498;101340;104333;102215;104931;102732;101911;104195;101633;103129;101384;102806;101508;101798;101527;101788;102415;100914;103063;100621;104180;103260;103800;;109483;109118;108968;109910;111073;110356;109605;109017;110664;109325;109599;108822;109840;109426;108731;108995;109214;109194;109716;109591;110072;109980;109831;110215;109301;110169;109172;109708;109283;109818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_01_03.thop;;86889;87735;89828;87070;91029;91007;90296;91637;89244;92285;89728;91102;91236;90363;88770;90945;88671;90602;89575;90419;88854;90877;90370;88626;90732;89613;91400;90007;89222;90330;;97317;97326;97861;97516;97024;98325;98512;97246;97396;96890;96816;97421;97846;97160;95933;96229;97072;96635;96528;97024;97132;96628;98263;97331;97024;97297;98533;95606;97700;97712;;109832;110909;111028;111068;112068;109867;111473;110687;109729;110798;111591;110331;111488;111023;110602;110027;111416;110613;109368;111526;112400;110363;110230;110299;109010;111172;110857;110374;109971;109812;;115678;114136;114101;115195;113928;115117;115097;115883;113994;113610;114482;114663;115186;115069;114538;116025;114751;114410;114607;115193;114428;114761;115449;115645;114903;115006;115520;114817;113937;114696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_05_01.thop;;145367;134195;119633;131872;151091;131668;144244;146490;136664;166879;117275;150253;131832;126767;122909;152797;151379;146486;133043;135729;145564;110957;136685;144218;137596;126410;137393;142029;164240;132869;;218796;217413;217337;231542;217818;230308;220618;226815;223282;229611;229104;228605;223150;228194;225401;221440;218444;216009;236051;221696;225381;219698;225412;226070;222425;212547;225831;227593;230308;230519;;351256;323373;341740;358132;347672;338972;339742;355527;355219;336152;361343;340646;353025;345498;341919;347191;346371;339166;340486;341904;356202;341141;343327;364215;335359;362378;334266;349772;339460;343073;;392335;393898;393652;393323;395611;394034;392651;393054;392013;393145;393898;391304;392627;393169;393941;394424;394225;390972;390771;395611;390944;395844;393566;392151;390071;395549;392743;393977;394801;391494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_05_02.thop;;189694;184503;161221;179292;181490;166679;172617;161482;166098;167576;148005;174951;147260;164973;176356;168207;163643;180268;161386;175950;164851;166225;155002;174928;144312;153684;158492;156763;174500;133790;;238394;253254;241282;229667;237245;242093;244876;240381;236289;241765;232784;233119;235379;240122;258148;228281;232160;249029;243889;246951;244852;227803;237070;242100;255311;261143;245969;263131;259663;246276;;416063;407450;403992;411381;418729;399561;408229;400314;396799;409068;389463;420010;396878;398115;411115;411321;420866;411478;406928;394441;410224;410256;403580;414320;416896;411036;420766;391570;392636;406827;;443071;444088;443429;445517;443806;446771;443236;443465;446459;445556;444115;443129;445857;443509;446457;446023;446903;446236;446275;445228;442911;445496;443960;444141;446555;444186;446013;446031;443473;444316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_05_03.thop;;190870;178928;177029;203195;209231;196296;180724;170664;188610;197459;175446;195435;183968;168511;164958;193703;185554;177482;199033;188288;173007;187858;172039;179626;176681;162336;192786;194151;193379;170403;;273971;259392;249611;243720;249153;237392;260914;251733;254483;254515;256361;247910;257013;259276;262056;258514;248235;256978;243992;255826;249502;252934;254201;253111;258265;257955;245610;254447;262997;252693;;442351;448976;442317;446511;446530;442946;439849;444240;442700;442164;445204;440681;441048;442219;443253;443237;435508;432812;443314;442293;442160;443287;441031;437168;439855;443358;443770;446251;442068;448171;;464065;464352;463626;463998;464113;463915;463850;463148;461600;464246;462342;462470;463745;463630;463614;463455;463543;464189;463919;464294;463256;464364;463745;463744;462552;463703;462328;464150;464113;464046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_10_01.thop;;139936;152315;132231;151336;180696;154493;153905;155907;151089;159900;151085;158327;146379;151409;128314;157767;126218;142984;136086;169644;140948;143632;144705;142252;147180;141114;140611;157252;152327;154881;;232491;262153;247639;254252;231492;250056;258014;244852;244130;254360;238728;223071;236591;248355;242375;253967;225918;239996;244787;255820;257868;221770;250839;239767;227463;223861;226010;247997;234109;248451;;489847;457016;472432;480475;472046;497736;456627;465830;491332;494865;478091;452030;465464;444541;466830;482667;444613;450987;473823;416788;472083;480913;454181;501211;492620;474500;477084;432091;487418;487522;;582401;582959;575199;584364;585487;581206;577838;580826;572315;577360;576809;578638;574014;579224;587313;588566;582523;576235;575631;582606;589686;566139;579021;579242;579220;595508;586825;582755;587299;560191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_10_02.thop;;177851;190571;162221;188310;215161;198443;184807;164883;177914;178545;160088;189247;166209;177845;191516;188333;192642;181433;173690;173931;171822;166922;171731;176032;168487;144803;183916;197891;179155;177269;;272895;276113;250812;247719;249884;258865;246330;262299;248880;265237;256997;253849;266886;259498;254768;247763;254843;274030;245068;248384;257043;248244;257561;263594;246605;251850;251836;256573;259947;246925;;626174;618096;618284;648107;588292;627860;612347;613022;624346;608755;612529;610531;594053;601474;578015;606750;608008;607231;600187;610054;607068;638215;636033;622955;592602;606178;631802;610920;608239;611847;;732121;720381;725232;727739;723990;725985;730645;730385;724636;726213;725439;724491;731519;728529;725441;720919;726662;719246;723885;727089;722801;728188;725670;730428;724307;724048;720624;726975;728218;725483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_bsc_10_03.thop;;198170;218786;194262;217263;237507;216543;193727;200257;197470;217797;187084;201937;204022;208895;193736;205580;214703;205429;226151;196332;202715;198644;202772;197700;186748;183790;214730;239253;190253;179245;;262183;277332;279528;265617;256010;270267;269120;268357;279902;287729;273891;270744;274112;289259;287214;282654;282509;275934;286097;277422;283200;282006;289993;291878;261153;275509;282910;268960;270263;272093;;728765;728086;725870;731743;729951;712519;717476;746008;735837;764268;733554;749789;728539;722654;697090;711272;745395;730396;729473;749756;718626;731345;735991;721966;736277;746195;727011;746935;732523;745156;;809551;815029;812530;813031;811213;812520;814788;810779;814599;813593;815265;814124;813117;816144;810930;813683;809070;807876;815091;814529;812446;810842;805979;817083;811509;817223;812742;816558;815410;807467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_01_01.thop;;40039;39356;37763;40810;40637;33751;41778;40025;43243;39483;38549;37953;41890;32989;45656;38283;37656;45275;40024;33919;35650;40112;40851;38965;40865;37354;42317;40594;46182;36919;;55118;56053;57380;54526;56993;56364;52753;56014;55765;55059;53290;56510;55962;55704;54130;54404;50979;54721;54709;58389;57378;56994;53478;58502;55745;57358;54176;55825;56888;53373;;80557;70083;78568;75384;75547;75884;72917;77629;77163;75924;73533;72960;71694;72469;78199;75350;74869;79266;74096;73037;74516;80833;71661;74500;74750;73573;78692;67349;73300;73385;;93404;96139;97204;91949;93116;91891;92742;97071;96879;96765;96588;93142;97163;95194;93415;93230;91392;93420;93415;90602;92655;92617;95030;92987;90878;92596;92909;91512;92668;90461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_01_02.thop;;45162;44728;41900;44551;47072;48028;43034;41270;49168;48155;47418;45929;48456;46747;49576;46953;45359;47005;46522;48380;38014;44273;49617;45142;45637;46262;47221;43793;46468;41852;;64778;65769;67255;65108;65074;61823;67337;64305;66572;64888;66082;66101;66212;63217;62385;67228;66535;64677;64901;64559;67268;68898;69025;62642;64943;59991;65283;64857;63819;65913;;104282;106615;104862;102038;104622;109196;104832;102677;103695;103178;101633;107288;108074;104945;105154;105699;105904;102459;103935;107847;105374;106841;104413;102112;105705;102411;101747;105396;105055;100814;;115015;114871;114749;116056;116843;116418;113434;114199;116035;114877;116948;115780;114794;116090;114301;117120;114586;115183;114556;114640;115535;114807;114219;115045;115977;114687;117296;116908;116087;116419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_01_03.thop;;53477;47814;47019;52120;47265;51750;49458;47150;57108;49702;49001;42891;48269;50106;49849;52143;44888;47519;50946;43144;48731;51722;48703;47213;51238;48234;52009;48234;52979;44506;;74984;73201;73235;76630;76476;76105;73885;73912;77639;72640;73251;72699;75613;73669;74380;75197;74792;78171;75867;74369;73719;75017;78795;77827;77007;70295;73131;72292;76697;73320;;123506;123239;123263;123049;120948;120746;121898;120583;123989;122985;123690;121895;123683;122475;123515;122232;122035;125306;122661;122467;122233;125078;121349;123719;122013;122618;123313;121445;125347;122778;;127676;127485;127390;128072;128548;127741;128794;128197;128077;129212;127135;128034;127989;128427;128095;127569;127317;127425;127154;127921;127164;128359;126817;127790;126687;128355;127951;127829;127186;128148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_05_01.thop;;54685;53648;53942;55458;61194;57804;56597;55519;58898;53259;49784;55263;51906;52850;54352;46059;53118;58867;54224;51231;51301;48902;53746;53213;58147;49832;61818;59173;56280;59146;;85012;84246;83991;80272;86651;84071;83788;84476;81658;85249;83600;82541;86315;85504;84416;82176;81240;82120;81691;86277;87813;79516;84384;86207;87605;79208;85219;85225;86107;82578;;156712;154167;145356;145745;145243;153612;150118;151466;150909;148035;140741;157362;154628;154449;147948;149382;153370;152282;163266;157149;154907;156637;151126;148724;164208;149634;159546;154200;158429;160786;;191088;193621;190592;188939;193099;187703;195054;197409;194830;191148;197324;194582;189832;192805;190558;193469;190275;188888;196565;194740;193433;189166;188130;192148;193183;192720;192544;194355;194771;189455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_05_02.thop;;67996;62694;62325;67661;71846;71336;67110;63908;71360;67412;69788;62550;66584;65081;65727;59039;72402;71138;62769;66296;63716;67051;69598;59863;68650;59087;67116;64806;65067;66850;;94237;84885;93207;95038;100279;98078;91013;93846;88743;91731;90734;94083;95815;96563;88018;98331;87092;89463;92664;91394;92613;94491;94239;94111;99847;101008;95855;101592;101664;98781;;206059;201246;220334;196280;202348;203381;197664;208445;209741;203916;200334;209424;201867;198737;199764;200840;197427;208975;211267;210573;197808;191964;208240;207543;210219;202059;214488;199973;195836;203350;;242243;241948;241877;242551;244236;242988;241708;241539;244615;242531;243340;241763;241973;242877;244286;240339;241591;241312;243442;244012;241983;243467;244499;242954;243599;242369;242529;242747;242485;240182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_05_03.thop;;75306;78189;77464;77129;74740;74923;73497;70515;80766;82837;72688;80573;72174;73951;76002;72100;80408;79857;80165;70933;74222;76327;82954;73157;75522;65430;86304;65931;73317;63016;;92735;94580;91057;107248;93805;98182;98032;95647;101362;98118;100904;103490;96851;100757;97231;103746;94311;90903;95023;96752;95387;101712;94724;96247;101321;95876;91264;105487;101561;96089;;257858;259235;257112;254268;253850;257377;256564;266199;260357;257274;261253;256598;260427;264158;261977;263949;260574;251593;262506;262104;256951;266457;263563;261116;261965;264863;260344;260028;260476;260638;;275502;277080;275787;275470;276910;277256;276057;274095;278402;275663;276328;275806;277292;276362;277451;276292;278215;276370;277078;277785;277262;277989;277591;277484;275043;276397;277542;276948;275161;277799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_10_01.thop;;60790;57215;54426;58348;52312;53786;56655;59817;62327;59110;54287;57634;54173;57353;55840;62658;52855;63323;49981;57058;53988;58833;52660;50677;51847;50343;58688;54514;58347;60612;;83197;87181;83315;81247;90920;90779;87318;88854;90898;83212;88170;84621;88579;92697;93616;83669;89810;93448;91370;80024;86986;86168;95778;82955;89260;88581;80220;87970;81036;81341;;184718;182236;195554;176659;190400;195223;200024;195328;185710;200550;193795;189464;178359;195960;184226;194696;183345;196911;184625;187905;187880;186850;180544;185373;184215;185740;174784;165920;194078;178185;;240200;237518;239969;233059;240067;239263;236641;231683;236814;239959;239839;240216;232926;233348;238991;240056;239387;240238;239822;243859;241254;240288;235139;239884;242466;245798;244665;244455;240031;233936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_10_02.thop;;72210;74408;62751;67288;80463;71797;69723;66399;61416;69807;62885;68763;66995;63184;70006;68730;71833;74101;66659;64922;68175;70349;74324;67833;67167;64190;78782;69015;66063;64172;;92172;96720;97397;96376;92694;95098;88504;94965;97070;91884;100582;97596;94937;105366;95741;108665;101558;108300;97375;101134;89263;98621;95239;96811;91499;95358;99196;97396;105025;96742;;251203;272253;257804;270929;240585;262919;255448;257670;255296;260213;240674;269721;257093;268853;261683;257473;259011;252130;256612;261893;259280;257734;240884;250132;248204;266421;256272;252461;258529;263355;;316305;318549;316181;318841;315324;316560;314820;319805;314134;317412;314335;316821;316777;316990;319093;318178;316528;313815;312905;313806;313829;316890;315538;314718;315516;315789;314532;314104;314790;316213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_unc_10_03.thop;;84177;83538;83687;78272;91206;88535;78376;74238;73840;84247;78552;83271;84913;79388;81350;76423;78806;91382;74503;74550;76793;87745;84487;76210;70797;72236;101793;85827;80631;73647;;94044;104757;111540;106441;104806;107366;102204;101213;104855;106285;103249;107152;104032;95054;99686;102349;100748;101663;99528;100490;99178;102108;101917;99584;98895;97848;101341;101415;96730;102262;;346504;348878;344179;343111;345660;349588;351821;345520;356285;345864;349115;354563;349042;349606;346643;349200;351223;340914;349511;352287;340207;342920;343775;354651;344909;342074;346802;344975;351864;350747;;365495;364583;365102;364360;365566;364628;363356;365235;363701;364322;363313;364827;364689;362970;365125;365757;365746;363691;364791;365417;364913;365540;364668;363945;365325;364308;365021;364174;363892;364498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_01_01.thop;;30761;32737;35041;30581;34863;37992;37815;25046;30827;36720;30592;33435;36367;40591;34539;36061;32969;35756;36667;36426;35125;32617;29516;32057;36009;35704;36172;28788;31510;36975;;52010;52370;50220;49591;51285;50003;48877;50226;52028;49097;49253;51790;48841;52551;49911;46882;50693;52532;46688;49371;49616;49653;49436;47659;47466;49533;51925;51145;48904;50385;;58044;56994;57990;58086;57706;57605;57868;58127;57059;57272;56839;57609;58471;58237;58010;58206;55644;58146;58068;57547;56579;58745;57945;57461;58170;56725;56840;56318;57182;57467;;61466;61458;60556;61466;61484;61484;61484;61321;61458;61219;61484;60676;61703;61859;61466;61439;61466;61466;61458;61466;61648;61458;61466;61466;61466;61466;61466;61484;61352;61352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_01_02.thop;;34490;37034;38157;38466;43014;39122;36093;35763;42464;41458;32390;42712;40087;43456;37727;40900;41786;38405;39510;39725;39469;40085;40155;43112;35909;42062;38825;42738;39984;41968;;56514;56214;55350;57153;57662;56302;54566;54828;55940;56164;56595;55867;55965;54287;56659;56272;55662;56234;54928;55437;56023;55216;56263;54992;52795;56623;55442;56388;54899;57425;;63761;63467;64773;64573;64331;64316;64483;65142;63890;64727;64669;63650;64934;65074;65136;64479;64471;64362;64317;64670;64666;64721;64600;63347;64120;63363;63936;63285;64581;64291;;67236;66781;67108;66860;66781;66726;66999;66995;67041;66846;66915;66813;67062;66995;66896;66968;66945;67212;66901;66978;67041;67060;67119;66976;67007;66853;67070;67022;66843;67176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_01_03.thop;;43389;39727;44431;43397;46032;41698;39970;45657;46896;40230;41909;40048;44244;48567;40088;44140;44462;46138;42657;45439;47902;46859;43965;48657;40909;42854;44242;45708;43420;42865;;60221;58853;60520;60014;59695;58163;59736;60479;61845;59139;60757;60617;60160;57758;59948;59232;58806;60442;58601;59139;60393;60556;59899;58144;59883;58405;57965;60558;60360;61439;;67186;67020;67510;67097;66798;68285;66754;67066;66553;66886;67260;67344;66933;68107;67195;67546;66637;67177;66989;67213;67396;67880;66756;66744;66074;66626;67813;67375;66864;68168;;69988;69885;69320;69551;69292;69393;68940;68824;69485;68927;69507;69853;69259;69241;69488;68927;69338;69560;69132;69390;69471;70160;69261;69446;69791;68927;69419;69089;69576;69420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_05_01.thop;;49648;66117;62625;59755;70878;61341;60077;58563;67054;58400;54768;53249;62493;60023;64042;63858;60149;73526;59663;59424;65119;53911;59099;57657;59204;53937;61069;58624;58000;63274;;96971;92430;90747;102384;93705;87119;86903;93241;94923;88002;94147;98676;90931;92000;98434;92468;98472;99770;93680;91858;92041;98009;91928;95061;94575;93038;96423;91498;92767;89595;;181159;175840;181738;182840;175652;175789;172734;184150;179325;182123;182016;175073;177997;175942;183283;179315;181579;175314;175179;178549;177771;183725;179272;175571;179564;182057;174221;176029;176902;180560;;204057;203569;204328;206080;203432;203197;202945;206196;205552;202159;203756;205867;203969;203822;201222;206633;206107;205814;205388;197406;200718;196555;198541;200555;204284;203731;204668;206102;201786;205890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_05_02.thop;;67698;73698;73480;66907;77082;73598;72647;78993;68688;68971;65399;77789;68334;68371;69883;79039;75550;78534;64349;69477;72604;71097;68652;71740;71715;69423;82117;81459;75524;69096;;98461;102942;98520;102011;101227;100437;104882;101486;109274;100188;98851;108010;103546;104451;100650;101301;100111;105893;103059;97746;96065;102807;103211;102800;99731;97096;100493;96790;101946;101063;;224120;220452;230018;224923;217840;226647;224974;231951;226148;228250;219974;226880;225628;222763;218419;220360;231154;226580;218771;229433;219515;222594;219415;220688;224388;223160;223399;226462;218796;223134;;247793;247284;244298;246997;247718;247456;248618;247572;246575;246675;249015;247216;248348;247743;245708;247320;247992;247977;247931;247447;248025;246108;246350;244155;248401;244748;246178;247783;248334;244873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_05_03.thop;;76865;90809;78883;87977;86671;86508;73756;80106;78465;79020;71108;84494;72084;82365;80479;90441;90377;95046;80676;86623;77532;79547;75336;75678;76159;79566;90870;80874;82184;71248;;109606;110678;105515;106842;103145;107314;100662;107206;103217;109826;111184;111757;107306;114809;114169;111796;111460;101797;100368;105901;100018;98872;102641;114090;104880;107829;98717;113539;109179;105161;;261334;264201;256788;257097;254898;261013;260509;266158;254841;255029;254432;262260;264141;257746;257418;264407;256088;254831;256363;266700;258073;258144;260911;263208;253482;259592;262903;250459;260027;253634;;272872;274536;272560;272962;273344;273561;272942;274339;272672;272706;273902;271750;271120;274168;273906;273311;274355;273928;273165;274533;274164;275048;273180;273453;274527;272739;273579;273344;271742;273025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a280_03_usw_10_01.thop;;57522;60303;61286;58092;63065;60116;55633;59566;69717;64823;57663;61786;62727;59752;62840;57840;62428;65516;58873;59247;58758;58765;58433;52057;52011;53181;66728;65843;60639;65312;;92760;98585;98861;98509;94095;98483;90566;97669;93574;92968;86660;94723;101847;91246;97421;90271;92164;92805;92894;95396;94996;92281;91933;92402;95508;91927;94737;94439;93597;92762;;205869;214919;221809;216353;216798;217479;210733;217042;200204;210700;210849;214105;206386;206796;219144;205575;212593;207072;199145;212349;203209;210681;204617;209989;224228;211179;215973;202172;220398;214496;;250633;252172;252684;254097;251674;249284;249229;251806;251235;251071;252372;246333;247730;251790;254198;252570;254310;254060;253324;252270;251560;252618;249818;254979;251974;252821;252190;251452;252644;252837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
